Global Edge Software Ltd.
Jaguar Land Rover
Ola Electric Mobility Pvt Ltd. 
Vidal Healthcare Service
Infinite Computer Solutions
Ola Electric Mobility
Great Wall India R & D Pvt Ltd.
Visteon Technical And Services Centre
Robert Bosch Engineering And Business Solutions
Aabsys It
Photon Interactive Solutions
Tata Consultancy Services
Bsharp Sales Enablers
Emudhra
Datamatics
Hcl Technologies
Integrity Solutions
Media Agility Pvt Ltd
Quest Global Engineering Services Private Limited
Osiz Technologies
Utah Tech Labs Pvt. Ltd
Larsen & Toubro Technologies
Robert Bosch Engineering & Business Solutions Pvt Ltd
Indiafilings Private Limited
Its Corporate
Lg
Verizon
Yazaki India Technical Center
Global Edge Software
Mexus Education
Hcl Technologies Limited
Aptiv Components Pvt Ltd
Myclassboard Educational Solutions
Chetaru Weblinks
Xerox
Aptiv Automotive
Sasken Communication Technologies Ltd
Orion Innovation
Renault Nissan Technology & Business Centre India Private Limited
Harman Connected Services
Cynexis
Photon Interactive Pvt Ltd
Honeywell Technology Solutions
Lg Soft India Pvt Ltd
Commscope Network Pvt Ltd
Alten Calsoft Labs Digital Pvt. Ltd.
Alstorm
Infosys
Teksystem Global
Ptc Software
Value Leaf
Tata Elxsi
Apssdc
Ctepl
Robert Bosch
L&t Infotech
Robert Bosch Engineering And Business Solutions[spacegraph]
L & T Technology Services
Teamlease Edtech Ltd
Offshoot Infotech Pvt. Ltd
Danfoss Industries
L&t Technology Services A
Capgemini
Embedded Systems Solutions
Tech Mahindra
Tcs
3di Systems Pvt. Ltd
Harman
Binary Data Source Pvt.ltd.
Socialbytes Technologies Pvt. Ltd
Altran Technologies
L&t Integrated Engineering Services
Polaris Inc
Harman Connected
Advanced Millenium Technologies
Tagit Pvt Ltd
Arvind Internet
Itc Infotech
Kpit
Harman International
Hyundai Mobis
Magneti Marelli
Ggj Solutions
Globaledge
Client (Dell)payrol Trueblue India Pvt Ltd
Broadridge Financial Solutions
Mirafra Software Technology
Implantaire Technologies 
Nulurn Edutech
75f Smart Innovations Private Limited
Global Logic
Mindtree Ltd
 L&t Technologies
Madhu Infotech India Private Limited
Aspireal Technologies Pvt Ltd
Ksolves India Pvt. Ltd.
Itiviti India Pvt. Ltd
Suntec Webservicies
Marquis Technology Pvt Ltd
Kent Cameye
Hughes Systique Corporation
L&t Technology Services
Audience
Green Apex Technolabs
Hidden Brains
Faurecia
Alten Calsoft Labs
Oppo R&d
Cummins
Optm Media Solutions
Mresult Services
Harman Connected Services Corporation India Pvt. Ltd.
Magna Automations
Fugenic Engineering Services
Codetru
Sundaram Infotech Solutions Pvt.ltd
Colan Infotech
Coinedone Technologies
Revyrieglobal.ltd
Sony India Software Centre Pvt. Ltd
Niteosoft Inc Dba Compworldwide
Toshiba India
Amadeus
 Pj Research Consulting Services Pvt Ltd
Hyundai Mobis Pvt Ltd
Kone Elevators
Innobox Systems Pvt. Ltd
L&t Technologies Bengaluru
Octava Techno Solutions
Jetblue
Visteon Corporation
Pathpartner
Tata Advanced Systems
Robert Bosch Engineering And Business Solutions Private Limited
L And T Technology Services
Aptive Automotive
Smarts Choice It Technologies Pvt
Qritrim India Limited
Kpit Technologies
Embitel Technologies Pvt. Ltd
Alstom Transport India Ltd
L & T Technology Services Pvt
Zf India Technology Center
Continental Automotive Components
Loginsof Pvt Limited
Embitel Technologies
Tata Consultancy Services Ltd.
Dysis
Legato Health Technologies
Capco Technologies
Toyota Kirloskar Motor
Jcb India Limited
Volvo Group Truck Technology
Cleartrail Technologies
Melayer Software Solutions Llc 
Eastern Enterprise
Cybage Software Pvt. Ltd.
Persistent System Ltd
 Ncsi Technologies (India)
Private Limited
Kiran Corporation
Agiletech Info Solutions Pvt Ltd. Chennai
Jgd Tech Pvt Ltd
Jasmin Infotech
Wapcos
Niit Ltd
Vitesco Technologies India Private Limited
Vanderlande Industries
Globant India Pvt Ltd
People Tech Group
Beatroute Innovations Pvt. Ltd.
Farshore Software Development Pvt Ltd Mad
Tech Aimz India Pvt Ltd
Ibm – 
Jc Penney Pvt Ltd.
Loginsoft
Unisys India Pvt. Ltd.
Manprax Software Llp New Delhi
Applify Tech Pvt Ltd.
Cognizant Technologies
Verifone
Doodleblue Innovations
Zf Group
Honeywell
 Auromax Technologies Pvt Ltd
Cognizant Technology Solutions
Ebc Publishing Pvt. Ltd.
Globallogic
Netapp Inc
Continental Ag
Jetsynthesys India Pvt Ltd.
Ambit Software
Capita India Pvt. Ltd. 
Tech Mahindra  
Persistent Systems Limited -  India
Harbinger Group 
Barcode India Ltd. 
Drish Infotech Ltd Chandigarh Chandigarh
Ibm
Trinity Mobile App Lab
Kpit Technologies Ltd
Robert Bosch Engineering And Business Solution Limited
Ittiam Systems
Path Partner
Xilinx India
Asm Technologies
Frslabs Research Pvt. Ltd.
Hr And Pr Media Hyderabad
Creative Synergies
Dell International Services India Pvt Ltd 
Railcarrx A Kaleris Company  Karnataka
S&p Global
Blume Global Inc
Encorabengaluru India
Encora Innovation Labs 
Krish Technolabs Pvt Ltd
Ltts
Raja Software Labs
Infosys Limited
Globallogica Hitachi Group Company Nagpur
Inspirisys Solutions Ltd
Datamatics Global Services
3clogic
Cavisson Systems
Cuelogic Technologies
Impact Analytics
Hcl Technologies Ltd
Ibm India Private Ltd
Nexwave Talent Management Solutions
Aspire Systems
Attra Infotech Pvt. Ltd
Reserve Bank Information Technology
Societe Generale
Genpact Headstrong Capital Markets
Atos - Last 
Amdocs Development Center India Pvt. Ltd.
Aavishk Sustainable Solutions Pvt Ltd
Tata Power
Nexteer Automotive
Virtusa Software
Sasken Technologies Ltd
Examroom.ai
Kpit Technologies Pvt Ltd
