,,,,,
University,Location,State,Applicability of Section 12 (B)?,Established,Specialization
Pandit Bhagwat Dayal Sharma University of Health Sciences,,Rohtak,Yes,2008,Healthcare
YMCA University of Science and Technology,,Faridabad,Yes,2009,Technology
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,Himachal Pradesh,Palampur,Yes,1978,Agriculture
Dr. Yashwant Singh Parmar University of Horticulture and Forestry,,Solan,Yes,1986,"Horticulture, forestry"
Himachal Pradesh Technical University,,Hamirpur,Yes,2010,Technology
Himachal Pradesh University,,Shimla,Yes,1970,General
Baba Ghulam Shah Badhshah University,Jammu and Kashmir,Rajauri,Yes,2005,General
Islamic University of Science and Technology,,Pulwama,No,2005,"Science, technology"
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,,Srinagar,Yes,1982,Agriculture
Shri Mata Vaishno Devi University,,Katra,Yes,2004,"Science, technology"
University of Jammu,,Jammu,Yes,1968,General
University of Kashmir,,Srinagar,Yes,1949,General
Birsa Agricultural University,Jharkhand,Ranchi,Yes,1980,Agriculture
Kolhan University,,Chaibasa,No,2007,General
National University of Study and Research in Law,,Ranchi,No,2010,Legal
Nilamber-Pitamber University,,Palamu,No,2007,General
Ranchi University,,Ranchi,Yes,1960,General
Sido Kanhu University,,Dumka,Yes,1992,General
Vinoba Bhave University,,Hazaribagh,Yes,1993,General
Bangalore University,Karnataka,Bangalore,Yes,1964,General
Davangere University,,Davangere,Yes,2009,General
Gulbarga University,,Gulbarga,Yes,1980,General
Kannada University,,Hampi,Yes,1992,Kannada
Karnatak University,,Dharwad,Yes,1949,General
Karnataka Samskrit University,,Bangalore,No,2010,Sanskrit
Karnataka State Law University,,Hubli,No,2009,Legal
Karnataka State Open University,,Mysore,No,1996,Distance education
Karnataka State Women's University,,Bijapur,Yes,2004,Women's only
"Karnataka Veterinary, Animal and Fisheries Sciences University",,Bidar,No,2004,Veterinary
KSGH Music and Performing Arts University,,Mysore,No,2009,Performing arts
Kuvempu University,,Shimoga,Yes,1987,General
Mangalore University,,Konaje,Yes,1980,General
National Law School of India University,,Bangalore,Yes,1992,Legal
Rajiv Gandhi University of Health Sciences,,Bangalore,No,1994,Healthcare
Rani Channamma University,,Belgaum,No,2010,General
Tumkur University,,Tumkur,No,2004,General
"University of Agricultural Sciences, Bangalore",,Bangalore,Yes,1964,Agricultural sciences
"University of Agricultural Sciences, Dharwad",,Dharwad,Yes,1986,Agricultural sciences
University of Mysore,,Mysore,Yes,1916,General
Visvesvaraya Technological University,,Belgaum,No,1999,Technology
Vijayanagara Sri Krishnadevaraya University,,Bellary,No,2010,General
Calicut University,Kerala,Tenhipalam,Yes,1968,General
Cochin University of Science and Technology,,Kalamassery,Yes,1971,Technology
Kannur University,,Kannur,Yes,1997,General
Kerala Agricultural University,,Thrissur,Yes,1972,Agriculture
Kerala University of Fisheries and Ocean Studies,,Kochi,Yes,2011,"Fisheries, oceanography"
Kerala University of Health Sciences,,Thrissur,Yes,2011,Healthcare
Kerala Veterinary and Animal Sciences University,,Wayanad,Yes,2011,"Veterinary, animal sciences"
Mahatma Gandhi University,,Kottayam,Yes,1983,General
National University of Advanced Legal Studies,,Kochi,No,2009,Legal
Sree Sankaracharya University of Sanskrit,,Kalady,Yes,1994,Sanskrit
University of Kerala,,Thiruvananthapuram,Yes,1937,General
Awdhesh Pratap Singh University,Madhya Pradesh,Rewa,Yes,1968,General
Barkatullah University,,Bhopal,Yes,1970,General
Devi Ahilya University,,Indore,Yes,1964,General
Jawaharlal Nehru Agricultural University,,Jabalpur,Yes,1964,Agriculture
Jiwaji University,,Gwalior,Yes,1964,General
Madhya Pradesh Bhoj Open University,,Bhopal,Yes,1995,Distance education
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,,Katni,No,1995,General
Maharshi Panini Sanskrit University,,Ujjain,No,2008,Sanskrit
Mahatma Gandhi Chitrakoot Gramoday University,,Chitrakoot,Yes,1993,General
Makhanlal Chaturvedi National University of Journalism,,Bhopal,No,1991,"Journalism, communication"
National Law Institute University,,Bhopal,Yes,1998,Legal
Rajiv Gandhi Technical University,,Bhopal,Yes,2004,Technology
Rani Durgavati University,,Jabalpur,Yes,1957,General
Madhya Pradesh Pashu-Chikitsa Vigyan Vishwavidyalaya,,Jabalpur,No,2009,"Veterinary, fishery"
Vikram University,,Ujjain,Yes,1957,General
Dr. Babasaheb Ambedkar Marathwada University,Maharashtra,Aurangabad,Yes,1958,General
Dr. Babasaheb Ambedkar Technological University,,Lonere,Yes,1989,Technology
Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,,Dapoli,Yes,1972,Agriculture
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,,Akola,Yes,1969,Agriculture
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,,Nagpur,No,1997,Sanskrit
Maharashtra Animal and Fishery Sciences University,,Nagpur,No,2002,"Veterinary, fishery"
Maharashtra University of Health Sciences,,Nashik,No,2000,Healthcare
Mahatma Phule Krishi Vidyapeeth,,Rahuri,Yes,1968,Agriculture
Marathwada Agricultural University,,Parbhani,Yes,1983,Agriculture
North Maharashtra University,,Jalgaon,Yes,1991,General
Rashtrasant Tukadoji Maharaj Nagpur University,,Nagpur,Yes,1923,General
Sant Gadge Baba Amravati University,,Amravati,Yes,1983,General
Shivaji University,,Kolhapur,Yes,1962,General
Shreemati Nathibai Damodar Thackersey Women's University,,Mumbai,Yes,1951,Women's only
Solapur University,,Solapur,No,2004,General
Swami Ramanand Teerth Marathwada University,,Nanded,Yes,1995,General
University of Mumbai,,Mumbai,Yes,1857,General
University of Pune,,Pune,Yes,1949,General
Yashwantrao Chavan Maharashtra Open University,,Nashik,Yes,1990,Distance education
Berhampur University,Orissa,Berhampur,Yes,1967,General
Biju Patnaik University of Technology,,Rourkela,No,2003,Technology
Fakir Mohan University,,Balasore,Yes,1999,General
"National Law University, Orissa",,Cuttack,No,2009,Legal
North Orissa University,,Baripada,Yes,1999,General
Orissa University of Agriculture and Technology,,Bhubaneswar,Yes,1962,Agriculture
Ravenshaw University,,Cuttack,Yes,2005,General
Sambalpur University,,Sambalpur,Yes,1967,General
Shri Jagannath Sanskrit Vishvavidyalaya,,Puri,Yes,1981,"Sanskrit, vedic studies"
Utkal University,,Bhubaneswar,Yes,1943,General
Utkal University of Culture,,Bhubaneswar,No,1999,Culture studies
"Veer Surendra Sai University of Technology, Burla",,Sambalpur,No,2008,Technology
Baba Farid University of Health Sciences,Punjab,Faridkot,Yes,2002,Healthcare
Guru Angad Dev Veterinary and Animal Sciences University,,Ludhiana,Yes,2005,Veterinary
Guru Nanak Dev University,,Amritsar,Yes,1969,General
Punjab Agricultural University,,Ludhiana,Yes,1962,Agriculture
Punjab Technical University,,Jalandhar,No,1998,Technology
Punjabi University,,Patiala,Yes,1962,General
Rajiv Gandhi National University of Law,,Patiala,Yes,2006,Legal
Jagadguru Ramanadacharya Rajasthan Sanskrit University,Rajasthan,Jaipur,No,1998,Sanskrit
Jai Narain Vyas University,,Jodhpur,Yes,1962,General
Maharaja Ganga Singh University,,Bikaner,No,2003,General
Maharana Pratap University of Agriculture and Technology,,Udaipur,No,2000,Agriculture
Maharshi Dayanand Saraswati University,,Ajmer,Yes,1987,General
Mohanlal Sukhadia University,,Udaipur,Yes,1962,General
"National Law University, Jodhpur",,Jodhpur,Yes,2004,Legal
Rajasthan Agricultural University,,Bikaner,Yes,1987,Agriculture
Rajasthan Ayurved University,,Jaipur,No,2004,Ayurveda
Rajasthan Technical University,,Kota,No,2006,Technology
Rajasthan University of Health Sciences,,Jaipur,No,2005,Healthcare
University of Kota,,Kota,No,2003,General
University of Rajasthan,,Jaipur,Yes,1947,General
Vardhaman Mahaveer Open University,,Kota,Yes,1987,Distance education
Alagappa University,Tamil Nadu,Karaikudi,Yes,1985,General
Anna University,,Chennai,Yes,2006,Technology
"Anna University of Technology, Chennai",,Chennai,No,2010,Technology
"Anna University of Technology, Coimbatore",,Coimbatore,No,2006,Technology
"Anna University of Technology, Madurai",,Madurai,No,2010,Technology
"Anna University of Technology, Tiruchirappalli",,Tiruchirappalli,No,2006,Technology
Anna University of Technology Tirunelveli,,Tirunelveli,No,2006,Technology
Annamalai University,,Annamalai Nagar,Yes,1929,General
Bharathiar University,,Coimbatore,Yes,1982,General
Bharathidasan University,,Tiruchirappalli,Yes,1982,General
Madurai Kamaraj University,,Madurai,Yes,1965,General
Manonmaniam Sundaranar University,,Tirunelveli,Yes,1992,General
Mother Teresa Women's University,,Kodaikanal,Yes,1984,Women's only
Periyar University,,Salem,Yes,1998,General
Tamil University,,Thanjavur,Yes,1981,Tamil
Tamil Nadu Agricultural University,,Coimbatore,Yes,1971,Agriculture
Tamil Nadu Dr. Ambedkar Law University,,Chennai,Yes,1998,Legal
Tamil Nadu Dr. M.G.R. Medical University,,Chennai,Yes,1989,Medical
Tamil Nadu Open University,,Chennai,No,2004,Distance education
Tamil Nadu Physical Education and Sports University,,Chennai,No,2005,"Sports, physical education"
Tamil Nadu Teacher Education University,,Chennai,No,2008,Teacher education
Tamil Nadu Veterinary and Animal Sciences University,,Chennai,Yes,1990,Veterinary science
Thiruvalluvar University,,Vellore,No,2003,General
University of Madras,,Chennai,Yes,1857,General
Bundelkhand University,Uttar Pradesh,Jhansi,Yes,1975,General
Chandra Shekhar Azad University of Agriculture and Technology,,Kanpur,Yes,1974,Agriculture
Chaudhary Charan Singh University,,Meerut,Yes,1965,General
Chhatrapati Shahuji Maharaj Medical University,,Lucknow,No,2004,Medicine
Chhatrapati Shahu Ji Maharaj University,,Kanpur,Yes,1965,General
Deen Dayal Upadhyay Gorakhpur University,,Gorakhpur,Yes,1957,General
Dr. B. R. Ambedkar University,,Agra,Yes,1927,General
Dr. Ram Manohar Lohia Avadh University,,Faizabad,Yes,1975,General
Dr. Ram Manohar Lohia National Law University,,Lucknow,Yes,2005,Legal
Dr. Shakuntala Misra Rehabilitation University,,Lucknow,No,2008,Disabled only
Gautam Buddha University,,Greater Noida,No,2002,General
Gautam Buddh Technical University,,Lucknow,No,2001,"Technology, management"
M. J. P. Rohilkhand University,,Bareilly,Yes,1975,Technology
Mahamaya Technical University,,Noida,No,2010,Technology
Mahatma Gandhi Kashi Vidyapeeth,,Varanasi,Yes,1974,General
"Manyavar Sri Kanshi Ram Ji Urdu, Arabi~Farsi University",,Lucknow,No,2010,"Urdu, Arabic, Persian"
Narendra Dev University of Agriculture and Technology,,Faizabad,Yes,1974,Agriculture
Sampurnanand Sanskrit University,,Varanasi,Yes,1958,Sanskrit
Sardar Vallabhbhai Patel University of Agriculture and Technology,,Meerut,No,2004,Agriculture
University of Lucknow,,Lucknow,Yes,1921,General
Uttar Pradesh King George's University of Dental Sciences,,Lucknow,No,2004,Dentistry
